date,nao,sst_index
19940208,-0.2635,1.6851
19940213,-0.5581,1.8262
19940218,-0.4363,1.7212
19940223,-1.4227,1.7103
19940228,-0.2075,1.5035
19940305,1.0079,1.3856
19940310,2.0861,1.1883
19940315,0.8822,1.3763
19940320,0.2936,1.3688
19940325,1.2097,1.2251
19940330,2.1709,1.6064
19941001,-0.3059,0.9418
19941006,1.1781,1.1871
19941011,0.0733,0.6091
19941016,-1.0399,0.3209
19941021,-0.1846,0.4486
19941026,-0.4439,0.5189
19941031,-0.0864,0.4163
19941105,-0.7001,0.5191
19941110,-1.3362,0.5944
19941115,1.1297,0.6146
19941120,1.5360,0.5446
19941125,1.3027,0.5872
19941130,-0.0666,0.9870
19941205,1.2176,1.3870
19941210,0.5749,1.5014
19941215,0.1406,1.2125
19941220,0.5140,1.0675
19941225,0.7224,0.8276
19941230,0.7201,0.8124
19950104,0.3747,0.7491
19950109,0.2960,0.7890
19950114,0.1870,0.8925
19950119,-0.4800,0.6984
19950124,-0.2870,0.4049
19950129,0.4174,0.5464
19950203,1.0989,0.4533
19950208,0.8223,0.3823
19950213,1.4861,0.4567
19950218,1.6011,0.7565
19950223,0.7963,0.6889
19950228,1.5696,0.6688
19950305,-0.0821,0.7103
19950310,-1.0157,0.8296
19950315,0.0692,0.3593
19950320,0.5591,0.2406
19950325,0.5749,0.0153
19950330,1.2106,0.0359
19951001,0.4978,0.1416
19951006,-0.3818,0.4450
19951011,-0.0800,0.3191
19951016,0.2019,0.1341
19951021,0.0682,0.0325
19951026,0.2298,-0.1494
19951031,-0.7475,-0.2617
19951105,-0.3793,-0.2209
19951110,-0.4678,-0.4480
19951115,-0.7470,-0.7884
19951120,-0.1814,-0.9780
19951125,-0.8220,-0.9088
19951130,-0.3222,-0.7798
19951205,-0.9882,-0.5318
19951210,-0.8219,-0.2887
19951215,-1.6909,-0.5151
19951220,-2.2329,-0.9275
19951225,-1.3076,-1.2743
19951230,-0.7822,-1.7000
19960104,-1.2649,-1.6442
19960109,0.1324,-1.6878
19960114,-0.1076,-1.4796
19960119,-0.2774,-1.3014
19960124,-1.9128,-1.1762
19960129,-2.1246,-1.1152
19960203,-0.0847,-1.1387
19960208,-0.8149,-1.0007
19960213,-0.6700,-0.8961
19960218,-0.2144,-0.9917
19960223,0.2666,-0.8283
19960228,-0.4359,-0.6678
19960304,-0.4630,-0.6205
19960309,0.2147,-0.2951
19960314,-1.3351,-0.3723
19960319,-2.1024,-0.6163
19960324,-1.5121,-0.6091
19960329,-0.9048,-0.3325
19961005,1.4036,0.3520
19961010,0.7165,0.7106
19961015,-0.6568,0.6740
19961020,-0.6599,0.4088
19961025,-0.4628,0.0913
19961030,-0.5275,0.0317
19961104,1.0076,0.4050
19961109,0.4854,0.4801
19961114,0.8197,0.2717
19961119,-0.6742,0.3945
19961124,-0.3240,0.0561
19961129,-0.2410,0.0878
19961204,-0.7941,0.0561
19961209,-1.7360,0.0048
19961214,-1.4222,-0.2350
19961219,-1.1593,-0.5095
19961224,-0.7826,-0.6443
19961229,-1.2768,-0.4236
19970103,-1.3969,-0.4467
19970108,-1.8132,-0.7005
19970113,-0.0819,-0.8915
19970118,0.7754,-1.0577
19970123,1.3169,-0.8608
19970128,0.0195,-0.9256
19970202,0.2983,-0.7210
19970207,1.5935,-0.2427
19970212,1.5997,-0.2242
19970217,1.5876,-0.0288
19970222,1.7603,-0.3011
19970227,2.3820,-0.3031
19970304,2.1200,0.2814
19970309,1.3108,0.5819
19970314,-0.0507,0.1790
19970319,-0.8215,0.0162
19970324,0.0793,0.0962
19970329,1.1150,0.2964
19971005,0.3264,-0.4819
19971010,0.1335,-0.7626
19971015,-0.6121,-0.8458
19971020,-0.8643,-1.4131
19971025,-0.9026,-1.7683
19971030,-0.3540,-1.5942
19971104,-0.1944,-1.7173
19971109,-0.1275,-1.6108
19971114,-0.2845,-1.4853
19971119,0.0966,-1.2045
19971124,-1.5259,-0.9094
19971129,-2.0521,-1.1275
19971204,-1.3410,-1.3942
19971209,0.5729,-1.4980
19971214,-0.9141,-1.3864
19971219,-0.5155,-1.4617
19971224,0.5131,-1.5155
19971229,0.6092,-1.0670
19980103,1.0491,-1.2866
19980108,-0.9626,-1.1052
19980113,-1.0297,-1.0788
19980118,-1.0714,-1.0457
19980123,-1.3327,-1.2779
19980128,-0.9207,-1.2306
19980202,-1.0703,-1.3716
19980207,-0.0393,-1.6678
19980212,0.1428,-1.7657
19980217,0.4544,-1.6808
19980222,0.8104,-1.5787
19980227,-0.5135,-1.9046
19980304,-0.1727,-2.1918
19980309,-0.6235,-1.8320
19980314,0.3768,-1.9027
19980319,-0.0295,-1.8305
19980324,0.0260,-1.8025
19980329,0.4278,-1.5972
19981005,-0.7634,-0.8037
19981010,0.8039,-0.7741
